"felvetel.eve","Subject","trial","RT"
2015,100,"X1",393
2015,101,"X1",390
2015,102,"X1",460
2015,103,"X1",401
2015,104,"X1",375
2015,105,"X1",359
2015,107,"X1",556
2015,108,"X1",469
2015,110,"X1",528
2015,112,"X1",268
2015,113,"X1",694
2015,114,"X1",459
2015,115,"X1",321
2015,116,"X1",369
2015,117,"X1",389
2015,118,"X1",342
2015,120,"X1",380
2015,121,"X1",345
2015,122,"X1",344
2015,123,"X1",479
2015,124,"X1",607
2015,125,"X1",423
2015,126,"X1",522
2015,127,"X1",NA
2015,128,"X1",818
2015,129,"X1",304
2015,130,"X1",344
2015,150,"X1",413
2015,151,"X1",559
2015,152,"X1",509
2015,153,"X1",352
2015,154,"X1",466
2015,155,"X1",341
2015,156,"X1",383
2015,157,"X1",331
2015,158,"X1",421
2015,161,"X1",596
2015,162,"X1",394
2015,163,"X1",430
2015,164,"X1",536
2015,165,"X1",409
2015,166,"X1",420
2015,167,"X1",381
2015,168,"X1",370
2015,169,"X1",456
2015,170,"X1",437
2015,171,"X1",421
2015,200,"X1",408
2015,201,"X1",421
2015,202,"X1",341
2015,203,"X1",571
2015,204,"X1",364
2015,205,"X1",579
2015,206,"X1",672
2015,322,"X1",308
2015,323,"X1",425
2015,324,"X1",415
2015,325,"X1",531
2015,326,"X1",366
2015,327,"X1",479
2015,328,"X1",649
2015,329,"X1",297
2015,330,"X1",533
2015,331,"X1",373
2015,332,"X1",496
2015,333,"X1",352
2015,334,"X1",487
2015,335,"X1",479
2015,336,"X1",335
2015,337,"X1",385
2015,338,"X1",431
2015,339,"X1",412
2015,340,"X1",1216
2015,341,"X1",399
2015,342,"X1",441
2015,343,"X1",474
2015,344,"X1",478
2015,345,"X1",399
2015,346,"X1",433
2015,347,"X1",392
2015,348,"X1",421
2015,349,"X1",519
2015,350,"X1",416
2015,351,"X1",401
2015,352,"X1",411
2015,353,"X1",487
2015,354,"X1",377
2015,355,"X1",342
2015,356,"X1",495
2015,357,"X1",503
2015,358,"X1",471
2015,359,"X1",492
2015,360,"X1",490
2015,361,"X1",413
2015,362,"X1",582
2015,363,"X1",481
2015,364,"X1",497
2015,365,"X1",431
2015,366,"X1",476
2015,367,"X1",300
2015,400,"X1",374
2015,401,"X1",540
2015,402,"X1",411
2015,403,"X1",323
2015,404,"X1",512
2015,405,"X1",367
2015,406,"X1",342
2015,407,"X1",476
2015,408,"X1",384
2015,409,"X1",462
2015,410,"X1",434
2015,411,"X1",666
2015,412,"X1",439
2015,413,"X1",339
2015,414,"X1",402
2015,415,"X1",486
2015,416,"X1",517
2015,417,"X1",454
2015,418,"X1",487
2015,419,"X1",508
2015,420,"X1",387
2015,421,"X1",436
2015,422,"X1",544
2015,423,"X1",455
2015,424,"X1",424
2015,425,"X1",355
2015,426,"X1",586
2015,427,"X1",756
2015,428,"X1",263
2015,430,"X1",306
2015,431,"X1",475
2015,432,"X1",340
2015,433,"X1",480
2015,434,"X1",372
2015,435,"X1",340
2015,436,"X1",459
2015,437,"X1",476
2015,439,"X1",329
2015,440,"X1",379
2015,441,"X1",372
2015,442,"X1",414
2015,443,"X1",545
2015,445,"X1",306
2016,121,"X1",378
2016,122,"X1",416
2016,123,"X1",669
2016,124,"X1",639
2016,125,"X1",536
2016,126,"X1",429
2016,127,"X1",438
2016,128,"X1",462
2016,129,"X1",430
2016,130,"X1",404
2016,132,"X1",327
2016,133,"X1",345
2016,134,"X1",582
2016,135,"X1",598
2016,136,"X1",419
2016,137,"X1",478
2016,138,"X1",807
2016,139,"X1",423
2016,140,"X1",415
2016,142,"X1",396
2016,143,"X1",322
2016,144,"X1",512
2016,145,"X1",387
2016,146,"X1",424
2016,147,"X1",470
2016,500,"X1",329
2016,501,"X1",356
2016,502,"X1",492
2016,503,"X1",364
2016,504,"X1",411
2016,505,"X1",352
2016,506,"X1",363
2016,507,"X1",440
2016,508,"X1",339
2016,509,"X1",669
2016,510,"X1",497
2016,511,"X1",329
2016,512,"X1",447
2016,513,"X1",413
2016,514,"X1",433
2016,515,"X1",360
2016,516,"X1",354
2016,517,"X1",465
2016,518,"X1",559
2016,519,"X1",308
2016,520,"X1",454
2016,521,"X1",334
2016,522,"X1",747
2016,523,"X1",333
2016,524,"X1",375
2016,525,"X1",338
2016,527,"X1",366
2016,528,"X1",361
2016,529,"X1",390
2016,530,"X1",344
2016,550,"X1",499
2016,551,"X1",301
2016,552,"X1",344
2016,553,"X1",359
2016,554,"X1",285
2016,556,"X1",329
2016,557,"X1",413
2016,559,"X1",414
2016,560,"X1",296
2016,561,"X1",355
2016,562,"X1",313
2016,563,"X1",368
2016,564,"X1",315
2016,565,"X1",274
2016,566,"X1",421
2016,567,"X1",387
2016,568,"X1",371
2016,569,"X1",329
2016,570,"X1",796
2016,571,"X1",315
2016,573,"X1",383
2016,574,"X1",386
2016,575,"X1",397
2016,576,"X1",382
2016,577,"X1",340
2016,650,"X1",1048
2016,651,"X1",324
2016,652,"X1",662
2016,653,"X1",495
2016,656,"X1",368
2016,657,"X1",422
2016,659,"X1",319
2016,660,"X1",439
2016,661,"X1",459
2016,662,"X1",472
2016,663,"X1",NA
2016,664,"X1",344
2016,665,"X1",493
2016,666,"X1",446
2016,667,"X1",286
2016,668,"X1",416
2016,669,"X1",373
2016,670,"X1",855
2016,672,"X1",425
2016,673,"X1",441
2016,674,"X1",617
2016,675,"X1",395
2016,678,"X1",339
2016,679,"X1",415
2016,680,"X1",348
2016,701,"X1",366
2016,702,"X1",321
2016,703,"X1",363
2016,704,"X1",389
2016,705,"X1",440
2016,706,"X1",452
2016,707,"X1",386
2016,708,"X1",617
2016,709,"X1",329
2016,710,"X1",398
2016,711,"X1",456
2016,712,"X1",493
2016,713,"X1",428
2016,714,"X1",282
2016,715,"X1",405
2016,716,"X1",259
2016,717,"X1",794
2016,718,"X1",399
2016,719,"X1",303
2016,720,"X1",405
2016,721,"X1",353
2016,722,"X1",549
